pos	neg	neu	compound	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude	Author
continuous	continuous	continuous	continuous	string	time	discrete	discrete	continuous	continuous	@saghanewscom @arieframadhanm @keziadotcom @sinaga_mangaraj @4ntonius_ @Hanyaisme @KalahariSenja @bukanorangvaik @hnurwahid @syafrianakbarr @walhinasional @FerdinandHaean3 @TheArieAir @OmbudsmanKepri @Sajogyo_ @RudiHar27127877 @chenoa041708 @BEMUI_Official @BudheEci @tribunnews @kabarpolitik @ecosocrights @RezkiSobri @NarasiNewsroom @n4k14465715 @thewidiantoro @CNNIndonesia @jayuimnida @komvnis @Kiyai_MarufAmin @p3ebalinusra @HukumKuasa @d4ds @ferrykoto @JhonaMerah @ZAEffendy @GreenpeaceID @sakuinformasi @Aryprasetyo85 @Santriwati_ @DDestariana @nilli_20 @kring_pajak @Agustia38595560 @Jonathan180399 @OmbudsmanRI137 @AryPrasetyo_85 @faridgaban @VampireYaoi @Sudiyanto204573 @rahmatrudi9 @bemFMIPAUI @bersihkan_indo @TrendAsia_Org @fadilromadon @armandbudiman @SuaraSETARA @KemnakerRI @mohmahfudmd @Kuyungipal @KanayaAlia @anissabayu88 @KomnasHAM @djplkemenhub151 @LenIndustri	Sagha\ News Putu\ RUDY\ Setiawan Yesayas Status\ Ternate\ Official Zuzzan. Cahyani\ Ika IDNpos.com Cilok Swara\ Warganet adhwa\ adzkiyya Rub. broer®🌴™ Hkaisupy TuhuleleFikri Zhehalatu BanyTamher Ali\ Lussy Alo!\ 🐒 jashujann Duniafana 🥑+TahuTempe Senyumanmu\ Begitu\ Indah The_D\ ™ Kopiko kezia\ 👺 Yudha\ Karan Rama\ Sugiharto® Melia Opsiin Choiroh\ NA Soto\ Cak\ Marmo 🍊+Javanese\ Salad Wawa Pentol\ Gembul Agil\ rabbanie🇮🇩 DivaChandra🇮🇩 Skyblue Chanda\ Diva\ 🇮🇩 Cak\ Cermo Retnosari you're Boston\ Daniel Wanta_02 +Aku\ Dimana? The\ Ipins blekitiselo Pramudita\ Chantika🇮🇩 Chibi\ Marukhocan Kaichun Kuda_Lumping Badru Jaya\ Katwang mikirdoeloe Abu\ Fauzan Visi\ Muslim\ Media BIROCRAZY\ 101 #INDONESIA_NTB💪 Namaku\ Boy Eko\ Kustiawan 100\ Tahun\ Tanpa\ Khilafah Danty\ Pelupessy Erica\ Laisina Sabang-merauke Pembela\ Bangsa Ludya Gesya semangagjuang Karsono Hanya Sinar\ Senja\ Kalahari mimo✨ setia\ purnama Harry\ Sufehmi RR Kadrunsangar deliknews.com Abu\ Israf Legal\ Akses WALHI\ Tanggap\ Bencana\ Ekologis Martha\ tilas Linda\ Sinta Rosalinda\ Halma Bilqis\ Syamban Salimah\ Hilma Konto\ Lodin Ray\ Adrian Odmumdo abisima Abang\ Fadil Kusumawardhana Topik\ Ismail Arie\ Dirgantara My\ Putun ombudsmanri137kepri Sunardo\ Panjaitan Monday\ Review are-d Kabinet\ Indonesia\ Mundur Sajogyo\ Institute Ora\ Lucu BaBe\ -\ Baca\ Berita galamedianews.com Media\ Umat @Noviroo Izinkanakubertanya Tedi Rara Nur\ HaziMah etapuxi Adhyas\ Fikri RassyaAdyaksa NKRI\ HARGA\ MATI Slaber Silvia KURNIAWAN\ AGUNG\ WICAKSONO Partai\ Demokrat Ombudsman\ RI Leonard Zona\ Nyaman joni\ ismail Yesi\ Maryam Fadli Cat\ who\ code InstitutEcosocRights IG:\ narkosun water\ law Pekerjaliterasi KADRUNGood Narasi\ Newsroom choirul\ sani rahmawati\ umasugi Muammar nyenyolyol Reynaldi277 🕊 odading mamay Qonita Vahyu\ rahayu CaseyAddison Giselle DelvinoCharles Caca nanaa Cici d Ademon Febby\ 69 PanduRizky LAPENKOP\ JATIM detikinet Atuy. hsn RockyyGerung Kadrussange Mbah_Kentung abusabila 자유 Golkar\ Indonesia Christo mas\ duta😉 Bahari\ Jaya Adelia\ Tiarasany BEM\ UI Ahmad\ Kaffi\ Hasan\ Maghrobi KH.\ Ma'ruf\ Amin Timur\ Kontribusi Rellyk Cika Amalina\ gracia Lita\ Nurulita andriana P3E\ BALI\ NUSRA\ KLHK Banni\ Rinaldy\ Noor Okky\ Indra KuasaHukumPajak MD The\ Hunter engga 𝓡𝓪𝓯𝓵𝓲\ 𝓢𝓪𝓯𝓪𝓭𝓲𝓽𝔂𝓪 Greenpeace\ Indonesia SAKUIN Media\ Indonesia Suara\ pemerintah OPINI.ID Era\ Indonesia Ary\ Prasetyo Santriwati ZAMANe JATAM\ Nasional #PajakKitaUntukKita jonathan\ surbakti Nilli\ Anjani. ari Mochtar\ Sudarsono Suyanto GATRAcom Agustiana Ahmad\ Nor\ Maulana\ Af Forest\ Digest Merdeka.com Pd_Pesisirselatan Lensawit Dwie Jonathan indah\ kiat sinta\ 69 Gatot Gerakan\ Maju Maya\ Joseph Fitri MutiaraEmas Mikhaelbohong Monitorday vardan Koran\ Bali\ Express Arnel\ Alhadi fian-indonesia Roland\ Bagaskara dammahum\ amatus Jurnas.com Radio\ Elshinta Yayasan\ Srikandi\ Lestari Jawa\ Pos Limbuk Terri Afdhal Dodok Sudiyanto Rocho rahmat\ rudi BORNEONEWS BEM\ FMIPA\ UI Bersihkan_Indo Andre Media\ Ditjen\ Penataan\ Agraria rina\ novitasari Adelia\ Novi\ A IG:\ @radiosmartfm959 ANTARA\ Business\ News Cahaya\ Fitri bitterpumpkin dikacahyadi Yoppi\ Aditya\ P\ P Erna\ Sitompul Koran\ BUMN SETARA\ Institute Kementerian\ Ketenagakerjaan Akusi\ Makasi DISTRIK\ NAVIGASI\ KELAS\ III\ KENDARI SWA\ Media\ Inc. Rεzzⓐ\ Pah₤εvⓨ Rakyat\ Merdeka Fokus\ Borneo darmadi_bulax's Kompas\ Ekonomi Kompas.com AttarArya imanshafie\  irwan Busyness\ at\ it's\ finest Aji\ Said\ M\ Iqbal\ Fajri tvOneNews Telusur.co.id Alia\ Kanaya Jalaludin\ Nasib Clean_Clear_Green dendangfabanyo 𝕐𝕒𝕟\ ℍ𝕒𝕣𝕒𝕙𝕒𝕡\ (𝐘\ 𝐀\ 𝐇) Klinik\ Hukumonline KanwilBPNLampung Beril\ Huliselan Forum\ Studi\ Cempaka Hadi\ Prayitno Beritabaru.co VOI.id HAM\ untuk\ Semua! DJPL\ Kemenhub\ 151 PT\ Len\ Industri\ (Persero)	string	continuous	continuous	continuous	continuous	continuous	False True	continuous	continuous	@saghanewscom @puturudy @Yesayas20 @statusternate @Zuzzan_Maigara @CahyaniIka3 @idnpublic @Cilokecilok @Swarawarganet_ @rubiyaramsha @catedoss @QROEB_01 @Hkaisupy1 @TuhuleleF @Zhehalatu1 @TamherBany @ali_lussy @mhuseinali @jashujann2 @Duniiafana @Tahutempeee_ @Panglim4Kumban9 @OrangKampungk @Kopiimu @keziadotcom @KaranYudha @Sugirama @oramundur @opsiin @Choiroh7 @CakMarmo @pecelll_ @Wawa18374929 @candellstik @AgilRabbanie @Divachandra10 @Skyybiyuu @ChandaDiva @CakCermo @JengRetno15 @mybookwithoutk @Cokro_25 @02Wanta @avcdchocoyxz @_ipins @riyadisugeng167 @PramuditaCahaya @susudancow21 @Kaichuuunn @kuda_kalap @Altoo69 @JayaKatwang15 @mikirdoeloe @abufauzan1924 @visimuslim_ @umbi2ans @NKRI_NTBSasambo @boy_namaku @eko_kustiawan @GhaziFath1453_ @DantyPelupessy @EricaLaisina @SabangMerauke @PembelaBangsa6 @Ludya73676697 @Gesya16473724 @semangagjuang @Karsono12732862 @Hanyaisme @KalahariSenja @bukanorangvaik @setia_purnama @hsuf @ryanrologi @kadrunsangar @deliknewscom @AbuIsraf @LegalAkses @walhinasional @ephorTeri40742 @delimetruant21 @AghoriAfar8282 @charmencup8344 @BrunoAbreu8179 @LodinKonto @RayAdrian19 @odmumdo @abisima2 @AbangFadil12 @Kusumaw47904548 @TopikIs97501177 @TheArieAir @myputun @OmbudsmanKepri @soenardo @monday_review @ared94964035 @Kafir_Kiri @Sajogyo_ @OraLucu7 @BacaDiBaBe @galamedianews @MediaUmat @Noviroo1 @cahyomisto @Tedi03612472 @Raratiaraaa24 @ZulkifleNur @etapuxi @AdhyasF @AdyaksaRassya @NKRIHAR59429127 @Slaber68148946 @Silvia65223258 @agg90 @PDemokrat @OmbudsmanRI137 @LeonardSEAP @ZonaNyamaninAja @70n115m41l @BudheEci @Fadlipenyair @catwhocode @ecosocrights @narkosun @RezkiSobri @kejarlahmimpi @GoodKadrun @NarasiNewsroom @yuyungondrong @rahmawatiumasu4 @mgibrann11 @nyenyolyol @Reynaldi4646 @jungwoorainy @mamhiu @mamay0001 @Qonitain @Vahyuayuh @CaseyAddison92 @Giselle_1515 @DelvinoCharles @nadiraputrii15 @callmenanaa12 @RuangSenja18 @thesember7 @Ademon000 @69Febby @thewidiantoro @LapenkopJatim @detikinet @NakamotoBuzZ @heuseun @GerungRockyy @kadrussange @kentung_mbah @abusabila @jayuimnida @golkar_id @Christo69355847 @komvnis @BahariMajuJaya @adelz_faith @BEMUI_Official @kaffi_hasan @Kiyai_MarufAmin @TKontribusi @Rellyk7 @Cika10307642 @emmetlet03898 @BrunoChavez008 @andrian16477022 @p3ebalinusra @BanniNoor @OkkyIndra5 @HukumKuasa @rifammhmdh @zandaclause @engga62697832 @rafsa_08 @GreenpeaceID @sakuinformasi @mediaindonesia @SuaraPemerintah @OPINI_id @eradotid @Aryprasetyo85 @Santriwati_ @MajalahZamane @jatamnas @kring_pajak @jonathansurbak1 @nilli_20 @ari99449773 @MochtarSudarso2 @Suyanto46751806 @GATRA_com @Agustia38595560 @AhmadNorMaulana @forestdigest @merdekadotcom @PdPsisirselatan @lensawit @DSutiyanti @Jonathan180399 @AryPrasetyo_85 @kiat_indah @Semanga93489686 @Gatot89371750 @MajuGerakan @MayaJos18391400 @Fitri26237555 @MutiaraEmas5 @Mikhaelbellak87 @monitordaycom @jjkookiebun @baliexpressnews @arnelalhadi @IndonesiaFian @Rolandbds @SuthaMuhd @jurnascom @RadioElshinta @SrikandiYayasan @jawapos @SastroGedek @Terri03456310 @afdhal_212 @Dodok45090546 @Sudiyanto204573 @Rocho60462278 @rahmatrudi9 @BORNEONEWS @bemFMIPAUI @bersihkan_indo @Andre45619081 @ditjen_pentag @rina_novitasari @adeliacr @RadioSmartFM @antarabiz @CahayaF24068567 @lindswtri @dikacahyadi3 @yopapepe @erna_st @KoranBUMN @SuaraSETARA @KemnakerRI @AkusiMakasi @disnav_kendari @swamediainc @_812ez4_P4hl3v1 @RakyatMerdeka99 @FokusBorneo @darbulax @KompasEkonomi @kompascom @attararya @beautynatural71 @IRWAN989frf @typingstation @ajisaidiqbal @tvOneNews @redaksi_telusur @KanayaAlia @JalaludinNasib @Vokal_Konsonan @dendangfabanyo @YanHarahap @klinikhukum @atr_bpn_lampung @berilhuliselan @ForsaIndonesia @hadiprayitno82 @Beritabaruco @voidotid @KomnasHAM @djplkemenhub151 @LenIndustri
				meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
0.0	0.0	1.0	0.0	PP ini turunan dari Undang-Undang Nomor 11 Tahun 2020 Omnibus Law tentang Cipta Kerja. Berdasarkan lampiran XIV PP itu disebutkan, jenis limbah batu bara yang dihapus dari kategori limbah B3 adalah fly ash dan bottom ash.	2021-03-14 09:11:22	in		0.0	0.0	@saghanewscom	Sagha News	Media	942.0	2.0	44.0	9.0	0.0	False			@saghanewscom
0.0	0.0	1.0	0.0	Kasus2 faktual begini apakah sudah terakomodasi dalam UU Cipta Kerja, baik secara konseptual ataupun teknikal? https://t.co/6wnJla0dFk	2021-03-14 08:17:44	in		0.0	0.0		Putu RUDY Setiawan	"Lecturer (works for Urban and Regional Planning Dept @ ITS).
Spatial scientist.
Professional spatial planner.
Third space observer.
Environmentalist."	9063.0	10384.0	905.0	1025.0	2.0	False			@puturudy
0.0	0.0	1.0	0.0	"UU cipta kerja untuk ekonomi Indonesia maju
#uuciptakerja https://t.co/tnHhqnJ9Fk"	2021-03-14 08:14:41	in		1.0	1.0		Yesayas	cuas	292.0	244.0	65.0	47.0	0.0	False			@Yesayas20
0.0	0.0	1.0	0.0	"UU cipta kerja untuk ekonomi Indonesia maju
#uuciptakerja https://t.co/loNd8TRZgk"	2021-03-14 08:14:36	in		1.0	1.0		Yesayas	cuas	292.0	244.0	65.0	47.0	0.0	False			@Yesayas20
0.0	0.0	1.0	0.0	"UU cipta kerja untuk ekonomi Indonesia maju
#uuciptakerja https://t.co/uSgdP8DbOv"	2021-03-14 08:14:30	in		1.0	1.0		Yesayas	cuas	292.0	244.0	65.0	47.0	0.0	False			@Yesayas20
0.0	0.0	1.0	0.0	"UU cipta kerja untuk ekonomi Indonesia maju
#uuciptakerja https://t.co/9Is9iCd7eA"	2021-03-14 08:14:25	in		1.0	1.0		Yesayas	cuas	292.0	244.0	65.0	47.0	0.0	False			@Yesayas20
0.0	0.0	1.0	0.0	"UU cipta kerja untuk ekonomi Indonesia maju
#uuciptakerja https://t.co/5hTaUTaQUR"	2021-03-14 08:14:21	in		1.0	1.0		Yesayas	cuas	292.0	244.0	65.0	47.0	0.0	False			@Yesayas20
0.0	0.0	1.0	0.0	UU Cipta Kerja Memperketat Izin Alih Fungsi Lahan https://t.co/FouM41PfY9 https://t.co/QCeGK3ssjp	2021-03-14 07:45:05	in		0.0	0.0		Status Ternate Official	Akun resmi Status Ternate, cek Instagram @status.ternate dan Fanpage Status Ternate. Orang Ternate pe informasi	19065.0	154.0	162.0	2758.0	11.0	False			@statusternate
